Kategori: Tüm kategoriler

Ay,dolar
2017-01,7
2017-02,5
2017-03,5
2017-04,5
2017-05,4
2017-06,4
2017-07,4
2017-08,3
2017-09,4
2017-10,6
2017-11,6
2017-12,4
2018-01,4
2018-02,4
2018-03,5
2018-04,5
2018-05,13
2018-06,9
2018-07,11
2018-08,50
2018-09,21
2018-10,19
2018-11,13
2018-12,9
2019-01,10
2019-02,8
2019-03,15
2019-04,20
2019-05,19
2019-06,14
2019-07,16
2019-08,15
2019-09,12
2019-10,16
2019-11,8
2019-12,9
2020-01,8
2020-02,9
2020-03,12
2020-04,11
2020-05,12
2020-06,8
2020-07,8
2020-08,16
2020-09,12
2020-10,15
2020-11,27
2020-12,12
2021-01,11
2021-02,14
2021-03,23
2021-04,16
2021-05,13
2021-06,14
2021-07,10
2021-08,11
2021-09,13
2021-10,23
2021-11,53
2021-12,100
