Kategori: Tüm kategoriler

Ay,enflasyon
2017-01,19
2017-02,10
2017-03,12
2017-04,13
2017-05,15
2017-06,22
2017-07,14
2017-08,8
2017-09,8
2017-10,11
2017-11,19
2017-12,28
2018-01,26
2018-02,12
2018-03,14
2018-04,14
2018-05,22
2018-06,32
2018-07,39
2018-08,26
2018-09,39
2018-10,73
2018-11,64
2018-12,74
2019-01,62
2019-02,25
2019-03,25
2019-04,24
2019-05,28
2019-06,31
2019-07,32
2019-08,20
2019-09,21
2019-10,26
2019-11,28
2019-12,34
2020-01,33
2020-02,15
2020-03,13
2020-04,14
2020-05,20
2020-06,30
2020-07,27
2020-08,15
2020-09,19
2020-10,21
2020-11,29
2020-12,52
2021-01,38
2021-02,19
2021-03,22
2021-04,26
2021-05,29
2021-06,37
2021-07,40
2021-08,25
2021-09,29
2021-10,37
2021-11,68
2021-12,100
