Kategori: Tüm kategoriler

Ay,kredi
2017-01,43
2017-02,46
2017-03,45
2017-04,38
2017-05,41
2017-06,43
2017-07,44
2017-08,44
2017-09,44
2017-10,43
2017-11,42
2017-12,42
2018-01,39
2018-02,40
2018-03,39
2018-04,38
2018-05,42
2018-06,37
2018-07,43
2018-08,40
2018-09,43
2018-10,39
2018-11,38
2018-12,37
2019-01,44
2019-02,45
2019-03,45
2019-04,37
2019-05,36
2019-06,35
2019-07,44
2019-08,54
2019-09,58
2019-10,52
2019-11,50
2019-12,48
2020-01,48
2020-02,43
2020-03,51
2020-04,100
2020-05,79
2020-06,82
2020-07,56
2020-08,46
2020-09,37
2020-10,38
2020-11,37
2020-12,38
2021-01,36
2021-02,38
2021-03,39
2021-04,34
2021-05,35
2021-06,38
2021-07,39
2021-08,38
2021-09,39
2021-10,40
2021-11,41
2021-12,41
